s-gyeranmari	안 터지는 계란말이	One large hero photo of the single finished dish at the top. Below it, an ingredient row with small cut-out photos of each ingredient labeled in Korean, then the numbered cooking steps in a row, each step with a small photo and its Korean caption underneath. The 4 step captions in Korean are exactly, in this order: 계란물 만들기, 약불 예열, 반쯤 익으면 말기, 모양 잡기. The dish is 안 터지는 계란말이.
sweetpotato-4	고구마 물리지 않게 먹는 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 에어프라이어 군고구마, 고구마맛탕, 고구마스틱, 고구마요거트.
kimchi-6	김치 시어졌을 때 6가지	Six labeled photo cards arranged in a 2x3 grid, each card showing the finished dish with its Korean caption underneath. The 6 captions in Korean are exactly, in this order: 김치찌개, 김치볶음밥, 김치전, 김치찜, 김치말이국수, 김치두부.
s-tteokbokki	분식집 떡볶이	One large hero photo of the single finished dish at the top. Below it, an ingredient row with small cut-out photos of each ingredient labeled in Korean, then the numbered cooking steps in a row, each step with a small photo and its Korean caption underneath. The 4 step captions in Korean are exactly, in this order: 양념 풀기, 끓이기, 졸이기, 마무리. The dish is 분식집 떡볶이.
noeat-morning-4	아침에 입맛 없을 때 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 오트밀 우유죽, 바나나 요거트, 계란 토스트, 누룽지죽.
shrimp-4	냉동새우 활용 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 새우볶음밥, 새우버터구이, 새우튀김, 새우아보카도샐러드.
mushroom-4	버섯 안 물리게 먹는 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 버섯볶음, 버섯전, 버섯된장국, 버섯덮밥.
s-doenjang	된장찌개 깊은 맛 내기	One large hero photo of the single finished dish at the top. Below it, an ingredient row with small cut-out photos of each ingredient labeled in Korean, then the numbered cooking steps in a row, each step with a small photo and its Korean caption underneath. The 4 step captions in Korean are exactly, in this order: 육수 내기, 된장 풀기, 재료 넣기, 마무리. The dish is 된장찌개 깊은 맛 내기.
noodle-cook-5	라면 맛있게 먹는 조합 5가지	Six labeled photo cards arranged in a 2x3 grid, each card showing the finished dish with its Korean caption underneath. The 5 captions in Korean are exactly, in this order: 계란라면, 치즈라면, 만두라면, 김치라면, 콩나물라면.
gim-4	김 남았을 때 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 김자반주먹밥, 김국, 김무침, 김밥.
diet-dinner-4	저녁 가볍게 먹는 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 두부 김치, 계란 야채볶음, 곤약 볶음밥, 닭가슴살 구이.
s-jeyuk	제육볶음 양념 황금비율	One large hero photo of the single finished dish at the top. Below it, an ingredient row with small cut-out photos of each ingredient labeled in Korean, then the numbered cooking steps in a row, each step with a small photo and its Korean caption underneath. The 4 step captions in Korean are exactly, in this order: 양념 만들기, 고기 재우기, 센불에 볶기, 야채 넣기. The dish is 제육볶음 양념 황금비율.
student-lunchbox-4	개학하고 도시락 반찬 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 소시지 야채볶음, 계란장조림, 메추리알조림, 어묵볶음.
doctor-dinner-3	의사가 저녁에 피하라는 것 대신 먹을 3가지	Three cards stacked vertically with large number badges 1, 2, 3, each showing the finished dish photo with its Korean caption and a short Korean one-line comment. The 3 captions in Korean are exactly, in this order: 두부 야채볶음, 계란 채소찜, 닭가슴살 샐러드.
s-kimbap	안 터지는 김밥	One large hero photo of the single finished dish at the top. Below it, an ingredient row with small cut-out photos of each ingredient labeled in Korean, then the numbered cooking steps in a row, each step with a small photo and its Korean caption underneath. The 4 step captions in Korean are exactly, in this order: 밥 간하기, 밥 얇게 펴기, 속 올리기, 말기. The dish is 안 터지는 김밥.
coldhand-4	손발 차가운 사람 따뜻한 한그릇 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 생강차, 호박죽, 닭곰탕, 된장 수제비.
cheese-4	슬라이스치즈 활용 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 치즈토스트, 치즈계란말이, 치즈라면, 치즈감자전.
nuts-4	견과류 물리지 않게 먹는 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 견과 요거트볼, 견과 멸치볶음, 견과 오트밀, 견과 강정.
s-miyeokguk	뽀얀 미역국	One large hero photo of the single finished dish at the top. Below it, an ingredient row with small cut-out photos of each ingredient labeled in Korean, then the numbered cooking steps in a row, each step with a small photo and its Korean caption underneath. The 4 step captions in Korean are exactly, in this order: 미역 불리기, 참기름에 볶기, 물 붓기, 푹 끓이기. The dish is 뽀얀 미역국.
blueberry-4	냉동블루베리 활용 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 블루베리 요거트, 블루베리 스무디, 블루베리 오트밀, 블루베리 토스트.
curry-4	카레 남았을 때 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 카레덮밥, 카레볶음밥, 카레우동, 카레크로켓.
radish-4	무 한 개 다 쓰는 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 무국, 무생채, 무조림, 무나물.
s-bokkeumbap	밥알 살아있는 볶음밥	One large hero photo of the single finished dish at the top. Below it, an ingredient row with small cut-out photos of each ingredient labeled in Korean, then the numbered cooking steps in a row, each step with a small photo and its Korean caption underneath. The 4 step captions in Korean are exactly, in this order: 찬밥 준비, 파기름 내기, 센불에 볶기, 간하기. The dish is 밥알 살아있는 볶음밥.
beansprout-4	콩나물 한 봉 다 쓰는 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 콩나물무침, 콩나물국, 콩나물밥, 콩나물불고기.
tteok-4	떡국떡 남았을 때 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 떡볶이, 떡국, 떡꼬치, 떡 라볶이.
s-gamjatang-easy	순살로 만드는 감자탕	One large hero photo of the single finished dish at the top. Below it, an ingredient row with small cut-out photos of each ingredient labeled in Korean, then the numbered cooking steps in a row, each step with a small photo and its Korean caption underneath. The 4 step captions in Korean are exactly, in this order: 고기 삶기, 1차 양념, 시래기 넣기, 마무리. The dish is 순살로 만드는 감자탕.
soymilk-4	두유 활용 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 콩국수, 두유 오트밀, 두유 스무디, 두유 라떼.
chuseok-prep-4	명절 전 미리 해두면 편한 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 동그랑땡, 잡채, 나물무침, 갈비양념.
leftover-jeon-4	명절 남은 전 재활용 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 전 찌개, 전 덮밥, 전 볶음, 전 김밥.
s-dakgalbi	집에서 닭갈비	One large hero photo of the single finished dish at the top. Below it, an ingredient row with small cut-out photos of each ingredient labeled in Korean, then the numbered cooking steps in a row, each step with a small photo and its Korean caption underneath. The 4 step captions in Korean are exactly, in this order: 양념 만들기, 닭 재우기, 센불에 볶기, 야채·떡 넣기. The dish is 집에서 닭갈비.
chuseok-diet-4	명절 살 안 찌게 먹는 법 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 나물 비빔밥, 맑은 떡국, 찜닭 대신 닭가슴살, 과일 대신 견과.
hangover-4	속 풀리는 해장 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 북엇국, 콩나물국, 무국, 계란죽.
s-sundubu	5분 순두부찌개	One large hero photo of the single finished dish at the top. Below it, an ingredient row with small cut-out photos of each ingredient labeled in Korean, then the numbered cooking steps in a row, each step with a small photo and its Korean caption underneath. The 4 step captions in Korean are exactly, in this order: 고추기름 내기, 물 붓기, 순두부 넣기, 계란 넣기. The dish is 5분 순두부찌개.
onepan-4	설거지 하나로 끝나는 한팬 요리 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 한팬 김치볶음밥, 한팬 파스타, 한팬 계란토스트, 한팬 야채볶음.
mayo-4	마요네즈로 맛 사는 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 참치마요덮밥, 감자샐러드, 마요계란말이, 코울슬로.
anchovy-4	멸치 볶음 안 딱딱하게 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 기본 멸치볶음, 견과 멸치볶음, 고추장 멸치볶음, 멸치 주먹밥.
s-japgokbap-salad	닭가슴살 샐러드 도시락	One large hero photo of the single finished dish at the top. Below it, an ingredient row with small cut-out photos of each ingredient labeled in Korean, then the numbered cooking steps in a row, each step with a small photo and its Korean caption underneath. The 4 step captions in Korean are exactly, in this order: 닭가슴살 굽기, 채소 씻어 물기 빼기, 드레싱 따로, 담기. The dish is 닭가슴살 샐러드 도시락.
greenonion-4	대파 한 단 다 쓰는 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 파기름 볶음밥, 대파 계란국, 파채무침, 대파전.
onion-4	양파 많을 때 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 양파장아찌, 양파볶음, 양파수프, 양파링구이.
baek-3	백종원이 방송에서 알려준 간단 요리 3가지	Three cards stacked vertically with large number badges 1, 2, 3, each showing the finished dish photo with its Korean caption and a short Korean one-line comment. The 3 captions in Korean are exactly, in this order: 만능간장, 파기름 볶음밥, 콩나물불고기.
s-carbonara	우유로 만드는 크림파스타	One large hero photo of the single finished dish at the top. Below it, an ingredient row with small cut-out photos of each ingredient labeled in Korean, then the numbered cooking steps in a row, each step with a small photo and its Korean caption underneath. The 4 step captions in Korean are exactly, in this order: 면 삶기, 베이컨 볶기, 우유 넣기, 치즈 녹이기. The dish is 우유로 만드는 크림파스타.
celeb-diet-3	연예인들이 자주 말하는 식단 3가지	Three cards stacked vertically with large number badges 1, 2, 3, each showing the finished dish photo with its Korean caption and a short Korean one-line comment. The 3 captions in Korean are exactly, in this order: 고구마+닭가슴살, 두부 샐러드, 그릭요거트볼.
nomeal-5min-4	진짜 5분 안에 되는 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 계란간장밥, 김치말이밥, 치즈토스트, 참치마요밥.
s-yangnyeom-chicken	에어프라이어 양념치킨	One large hero photo of the single finished dish at the top. Below it, an ingredient row with small cut-out photos of each ingredient labeled in Korean, then the numbered cooking steps in a row, each step with a small photo and its Korean caption underneath. The 4 step captions in Korean are exactly, in this order: 닭 밑간, 튀김가루 입히기, 에어프라이어, 양념 버무리기. The dish is 에어프라이어 양념치킨.
nightsnack-5	야식 죄책감 덜한 5가지	Six labeled photo cards arranged in a 2x3 grid, each card showing the finished dish with its Korean caption underneath. The 5 captions in Korean are exactly, in this order: 두부김치, 계란찜, 어묵탕, 콩나물국, 찐 단호박.
rainy-4	비 오는 날 부쳐먹는 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 김치전, 파전, 감자전, 애호박전.
beef-4	소고기 국거리 활용 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 소고기무국, 소고기미역국, 소고기죽, 소고기볶음밥.
s-mandu-guk	떡만둣국	One large hero photo of the single finished dish at the top. Below it, an ingredient row with small cut-out photos of each ingredient labeled in Korean, then the numbered cooking steps in a row, each step with a small photo and its Korean caption underneath. The 4 step captions in Korean are exactly, in this order: 육수 내기, 떡 불리기, 끓이기, 고명 올리기. The dish is 떡만둣국.
pork-4	돼지고기 앞다리살 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 제육볶음, 김치찌개, 두루치기, 장조림.
garlic-4	다진마늘 활용 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 마늘버터빵, 마늘볶음밥, 알리오올리오, 마늘간장.
s-hobakjuk	단호박죽	One large hero photo of the single finished dish at the top. Below it, an ingredient row with small cut-out photos of each ingredient labeled in Korean, then the numbered cooking steps in a row, each step with a small photo and its Korean caption underneath. The 4 step captions in Korean are exactly, in this order: 단호박 찌기, 껍질 벗겨 으깨기, 끓이기, 찹쌀가루 넣기. The dish is 단호박죽.
konjac-4	곤약으로 배 채우는 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 곤약 비빔면, 곤약 잡채, 곤약 볶음밥, 곤약 어묵탕.
bread-6	식빵 한 봉 다 쓰는 6가지	Six labeled photo cards arranged in a 2x3 grid, each card showing the finished dish with its Korean caption underneath. The 6 captions in Korean are exactly, in this order: 계란토스트, 치즈토스트, 마늘빵, french토스트, 식빵피자, 러스크.
mushroom-diet-4	버섯으로 배 채우는 다이어트 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 버섯 구이, 버섯 볶음밥, 버섯 된장국, 버섯 샐러드.
s-oisobagi	오이소박이	One large hero photo of the single finished dish at the top. Below it, an ingredient row with small cut-out photos of each ingredient labeled in Korean, then the numbered cooking steps in a row, each step with a small photo and its Korean caption underneath. The 4 step captions in Korean are exactly, in this order: 오이 절이기, 칼집 넣기, 속 만들기, 채워 넣기. The dish is 오이소박이.
cucumber-4	오이 많을 때 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 오이무침, 오이냉국, 오이피클, 오이김밥.
gochujang-4	고추장 활용 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 초고추장, 제육볶음, 떡볶이, 고추장찌개.
chuseok-guest-4	손님 올 때 급하게 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 잡채, 불고기, 계란말이, 겉절이.
s-yubuchobap	유부초밥 맛있게	One large hero photo of the single finished dish at the top. Below it, an ingredient row with small cut-out photos of each ingredient labeled in Korean, then the numbered cooking steps in a row, each step with a small photo and its Korean caption underneath. The 4 step captions in Korean are exactly, in this order: 밥 간하기, 유부 물기 짜기, 밥 채우기, 고명 올리기. The dish is 유부초밥 맛있게.
fridge-clear-6	냉장고 비우는 날 6가지	Six labeled photo cards arranged in a 2x3 grid, each card showing the finished dish with its Korean caption underneath. The 6 captions in Korean are exactly, in this order: 냉털 볶음밥, 냉털 전, 냉털 카레, 냉털 국, 냉털 잡채, 냉털 김밥.
cold-season-4	환절기 감기 기운 있을 때 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 생강차, 배도라지차, 계란죽, 콩나물국.
s-kongnamulbap	콩나물밥 양념장	One large hero photo of the single finished dish at the top. Below it, an ingredient row with small cut-out photos of each ingredient labeled in Korean, then the numbered cooking steps in a row, each step with a small photo and its Korean caption underneath. The 4 step captions in Korean are exactly, in this order: 쌀 안치기, 콩나물 얹기, 취사, 양념장. The dish is 콩나물밥 양념장.
rice-cooker-4	밥솥으로 되는 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 콩나물밥, 버섯솥밥, 찜닭, 단호박찜.
microwave-5	전자레인지만으로 5가지	Six labeled photo cards arranged in a 2x3 grid, each card showing the finished dish with its Korean caption underneath. The 5 captions in Korean are exactly, in this order: 계란찜, 오트밀죽, 찐 고구마, 데운 즉석밥+계란, 단호박찜.
latenight-diet-4	야식 참기 힘들 때 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 두부 부침, 계란찜, 어묵 국물, 찐 단호박.
s-french-toast	프렌치토스트	One large hero photo of the single finished dish at the top. Below it, an ingredient row with small cut-out photos of each ingredient labeled in Korean, then the numbered cooking steps in a row, each step with a small photo and its Korean caption underneath. The 4 step captions in Korean are exactly, in this order: 계란물 만들기, 식빵 적시기, 약불에 굽기, 마무리. The dish is 프렌치토스트.
weekend-brunch-4	주말 브런치 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 프렌치토스트, 에그인헬, 아보카도 토스트, 팬케이크.
egg-diet-4	계란으로 다이어트 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 삶은계란, 계란 샐러드, 계란찜, 계란 야채볶음.
s-gamja-jorim	감자조림 황금비율	One large hero photo of the single finished dish at the top. Below it, an ingredient row with small cut-out photos of each ingredient labeled in Korean, then the numbered cooking steps in a row, each step with a small photo and its Korean caption underneath. The 4 step captions in Korean are exactly, in this order: 감자 썰기, 볶기, 양념 넣기, 졸이기. The dish is 감자조림 황금비율.
chuseok-jeon-4	명절 전 부치기 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 동태전, 동그랑땡, 호박전, 깻잎전.
student-cheap-4	장보기 2만원으로 일주일 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 계란볶음밥, 김치찌개, 어묵볶음, 콩나물국.
dessert-easy-4	집에서 되는 디저트 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 우유푸딩, 바나나 요거트볼, 고구마 맛탕, 식빵 러스크.
s-oden-tang	포장마차 어묵탕	One large hero photo of the single finished dish at the top. Below it, an ingredient row with small cut-out photos of each ingredient labeled in Korean, then the numbered cooking steps in a row, each step with a small photo and its Korean caption underneath. The 4 step captions in Korean are exactly, in this order: 육수 내기, 어묵 데치기, 꼬치 끼우기, 끓이기. The dish is 포장마차 어묵탕.
morning-quick-4	출근 전 5분 아침 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 오버나이트 오트밀, 계란 토스트, 바나나 요거트, 주먹밥.
last-onedish-4	귀찮은 날 한그릇 4가지	Four labeled photo cards arranged in a 2x2 grid, each card showing the finished dish with its Korean caption underneath. The 4 captions in Korean are exactly, in this order: 계란덮밥, 참치덮밥, 카레덮밥, 어묵덮밥.
